source,target
CMTM6,chr3-p22.3
DTNBP1,chr6-p22.3
RNF144B,chr6-p22.3
CER1,chr9-p22.3
FREM1,chr9-p22.3
KAAG1,chr6-p22.3
GPLD1,chr6-p22.3
ALDH5A1,chr6-p22.3
TDP2,chr6-p22.3
ACOT13,chr6-p22.3
GMPR,chr6-p22.3
ZDHHC21,chr9-p22.3
CMTM8,chr3-p22.3
PDCD6IP,chr3-p22.3
UBP1,chr3-p22.3
GLB1,chr3-p22.3
MRS2,chr6-p22.3
CRTAP,chr3-p22.3
FBXL2,chr3-p22.3
CMTM7,chr3-p22.3
CCR4,chr3-p22.3
KIAA0319,chr6-p22.3
C6orf62,chr6-p22.3
GMNN,chr6-p22.3
MCOLN2,chr1-p22.3
CLCA1,chr1-p22.3
ZNHIT6,chr1-p22.3
LMO4,chr1-p22.3
SYDE2,chr1-p22.3
NFIB,chr9-p22.3
ODF2L,chr1-p22.3
COL24A1,chr1-p22.3
CLCA4,chr1-p22.3
MRM2,chr7-p22.3
SNX8,chr7-p22.3
CHST12,chr7-p22.3
MAD1L1,chr7-p22.3
SH3GLB1,chr1-p22.3
MCOLN3,chr1-p22.3
NUDT1,chr7-p22.3
LPAR3,chr1-p22.3
DNAI3,chr1-p22.3
SNAPC3,chr9-p22.3
ATXN1,chr6-p22.3
AMZ1,chr7-p22.3
EIF3B,chr7-p22.3
BRAT1,chr7-p22.3
GPD1L,chr3-p22.3
LFNG,chr7-p22.3
E2F3,chr6-p22.3
PRL,chr6-p22.3
GPER1,chr7-p22.3
DPY30,chr2-p22.3
SLC30A6,chr2-p22.3
NLRC4,chr2-p22.3
PDGFA,chr7-p22.3
FOXL3,chr7-p22.3
GRIFIN,chr7-p22.3
TRIM71,chr3-p22.3
CAP2,chr6-p22.3
MAFK,chr7-p22.3
TMEM184A,chr7-p22.3
PSMG3,chr7-p22.3
ELFN1,chr7-p22.3
FAM8A1,chr6-p22.3
SPAST,chr2-p22.3
CLCA2,chr1-p22.3
OSBPL10,chr3-p22.3
STAC,chr3-p22.3
CCN1,chr1-p22.3
C1orf52,chr1-p22.3
BCL10,chr1-p22.3
ARPP21,chr3-p22.3
CLASP2,chr3-p22.3
MEMO1,chr2-p22.3
CNOT10,chr3-p22.3
YIPF4,chr2-p22.3
BIRC6,chr2-p22.3
TTC27,chr2-p22.3
DDAH1,chr1-p22.3
RASGRP3,chr2-p22.3
FAM98A,chr2-p22.3
RPF1,chr1-p22.3
GNG5,chr1-p22.3
SPATA1,chr1-p22.3
CTBS,chr1-p22.3
SSX2IP,chr1-p22.3
SELENOF,chr1-p22.3
HS2ST1,chr1-p22.3
VCX2,chrX-p22.31
ANOS1,chrX-p22.31
FAM9B,chrX-p22.31
NLGN4X,chrX-p22.31
FAM9A,chrX-p22.31
PUDP,chrX-p22.31
TBL1X,chrX-p22.31
VCX3B,chrX-p22.31
VCX3A,chrX-p22.31
STS,chrX-p22.31
PNPLA4,chrX-p22.31
VCX,chrX-p22.31
PPP2R3B,chrX-p22.33
PRKX,chrX-p22.33
IL3RA,chrX-p22.33
P2RY8,chrX-p22.33
SLC25A6,chrX-p22.33
ASMT,chrX-p22.33
GTPBP6,chrX-p22.33
DHRSX,chrX-p22.33
ASMTL,chrX-p22.33
CRLF2,chrX-p22.33
AKAP17A,chrX-p22.33
CSF2RA,chrX-p22.33
PLCXD1,chrX-p22.33
GYG2,chrX-p22.33
ARSD,chrX-p22.33
ARSH,chrX-p22.33
ARSF,chrX-p22.33
ARSL,chrX-p22.33
ZBED1,chrX-p22.33
CD99,chrX-p22.33
XG,chrX-p22.33
MXRA5,chrX-p22.33
SHOX,chrX-p22.33
LURAP1L,chr9-p23
RNF182,chr6-p23
GFOD1,chr6-p23
TYRP1,chr9-p23
CD83,chr6-p23
STT3B,chr3-p23
MPDZ,chr9-p23
ZNF860,chr3-p23
NOL7,chr6-p23
RANBP9,chr6-p23
SIRT5,chr6-p23
PTPRD,chr9-p23
MCUR1,chr6-p23
GADL1,chr3-p23
DEFB130A,chr8-p23.1
FAM90A7P,chr8-p23.1
CLDN23,chr8-p23.1
DEFA4,chr8-p23.1
PPP1R3B,chr8-p23.1
DEFB104B,chr8-p23.1
FAM90A18P,chr8-p23.1
TNKS,chr8-p23.1
LONRF1,chr8-p23.1
MSRA,chr8-p23.1
USP17L1,chr8-p23.1
DEFB107B,chr8-p23.1
DEFB103A,chr8-p23.1
DEFA5,chr8-p23.1
PRSS55,chr8-p23.1
XKR5,chr8-p23.1
PRSS51,chr8-p23.1
FAM90A10P,chr8-p23.1
FAM90A9P,chr8-p23.1
PRAG1,chr8-p23.1
FAM90A19P,chr8-p23.1
USP17L3,chr8-p23.1
ZNF705B,chr8-p23.1
DEFB107A,chr8-p23.1
MFHAS1,chr8-p23.1
PINX1,chr8-p23.1
FAM90A17P,chr8-p23.1
DEFB104A,chr8-p23.1
FAM90A8P,chr8-p23.1
SOX7,chr8-p23.1
PINX1,chr8-p23.1
DEFB1,chr8-p23.1
FAM90A16P,chr8-p23.1
DEFB4A,chr8-p23.1
DEFB103B,chr8-p23.1
ERI1,chr8-p23.1
DEFA3,chr8-p23.1
DEFB106A,chr8-p23.1
DEFB105B,chr8-p23.1
FAM90A22P,chr8-p23.1
SPAG11A,chr8-p23.1
DEFA6,chr8-p23.1
XKR6,chr8-p23.1
RP1L1,chr8-p23.1
SRD5A2,chr2-p23.1
USP17L8,chr8-p23.1
PRR23D2,chr8-p23.1
USP17L4,chr8-p23.1
FAM90A23P,chr8-p23.1
CAPN13,chr2-p23.1
C8orf74,chr8-p23.1
CAPN14,chr2-p23.1
XDH,chr2-p23.1
EHD3,chr2-p23.1
ZNF705G,chr8-p23.1
LBH,chr2-p23.1
GALNT14,chr2-p23.1
YPEL5,chr2-p23.1
FAM90A14P,chr8-p23.1
ALK,chr2-p23.1
FDFT1,chr8-p23.1
NEIL2,chr8-p23.1
CTSB,chr8-p23.1
MTMR9,chr8-p23.1
SLC35G5,chr8-p23.1
FAM167A,chr8-p23.1
BLK,chr8-p23.1
DEFB136,chr8-p23.1
DEFB134,chr8-p23.1
DEFB130B,chr8-p23.1
ZNF705D,chr8-p23.1
USP17L7,chr8-p23.1
USP17L2,chr8-p23.1
DEFB135,chr8-p23.1
DEFB106B,chr8-p23.1
DEFA1,chr8-p23.1
SPAG11B,chr8-p23.1
DEFB105A,chr8-p23.1
PRR23D1,chr8-p23.1
DEFA1B,chr8-p23.1
ANGPT2,chr8-p23.1
AGPAT5,chr8-p23.1
GATA4,chr8-p23.1
MCPH1,chr8-p23.1
FAM86B1,chr8-p23.1
DEFB4B,chr8-p23.1
LCLAT1,chr2-p23.1
FAM86B2,chr8-p23.1
PPP1CB,chr2-p23.2
FOSL2,chr2-p23.2
TRMT61B,chr2-p23.2
MRPL33,chr2-p23.2
SPDYA,chr2-p23.2
PLB1,chr2-p23.2
WDR43,chr2-p23.2
RBKS,chr2-p23.2
CSMD1,chr8-p23.2
BABAM2,chr2-p23.2
TOGARAM2,chr2-p23.2
PCARE,chr2-p23.2
CLIP4,chr2-p23.2
ERICH1,chr8-p23.3
HADHA,chr2-p23.3
WDCP,chr2-p23.3
DPYSL5,chr2-p23.3
EFR3B,chr2-p23.3
FAM228A,chr2-p23.3
TP53I3,chr2-p23.3
ATAD2B,chr2-p23.3
CENPA,chr2-p23.3
HADHB,chr2-p23.3
FAM228B,chr2-p23.3
PFN4,chr2-p23.3
SLC35F6,chr2-p23.3
CIB4,chr2-p23.3
FKBP1B,chr2-p23.3
UBXN2A,chr2-p23.3
FAM166C,chr2-p23.3
SF3B6,chr2-p23.3
DRC1,chr2-p23.3
DLGAP2,chr8-p23.3
FBXO25,chr8-p23.3
OR4F21,chr8-p23.3
TDRP,chr8-p23.3
CLN8,chr8-p23.3
ARHGEF10,chr8-p23.3
KBTBD11,chr8-p23.3
MYOM2,chr8-p23.3
ZNF596,chr8-p23.3
SNX17,chr2-p23.3
ZNF513,chr2-p23.3
PPM1G,chr2-p23.3
NRBP1,chr2-p23.3
KRTCAP3,chr2-p23.3
FNDC4,chr2-p23.3
GCKR,chr2-p23.3
IFT172,chr2-p23.3
MFSD2B,chr2-p23.3
OTOF,chr2-p23.3
CENPO,chr2-p23.3
DNAJC27,chr2-p23.3
ADCY3,chr2-p23.3
PTRHD1,chr2-p23.3
ASXL2,chr2-p23.3
KIF3C,chr2-p23.3
RAB10,chr2-p23.3
GAREM2,chr2-p23.3
POMC,chr2-p23.3
NCOA1,chr2-p23.3
ZNF512,chr2-p23.3
CCDC121,chr2-p23.3
GPN1,chr2-p23.3
SUPT7L,chr2-p23.3
SLC4A1AP,chr2-p23.3
C2orf16,chr2-p23.3
EIF2B4,chr2-p23.3
ITSN2,chr2-p23.3
SELENOI,chr2-p23.3
KCNK3,chr2-p23.3
GTF3C2,chr2-p23.3
ADGRF3,chr2-p23.3
DNMT3A,chr2-p23.3
MAPRE3,chr2-p23.3
TMEM214,chr2-p23.3
AGBL5,chr2-p23.3
OST4,chr2-p23.3
EMILIN1,chr2-p23.3
KHK,chr2-p23.3
CGREF1,chr2-p23.3
ABHD1,chr2-p23.3
PREB,chr2-p23.3
PRR30,chr2-p23.3
TCF23,chr2-p23.3
SLC5A6,chr2-p23.3
CAD,chr2-p23.3
SLC30A3,chr2-p23.3
DNAJC5G,chr2-p23.3
TRIM54,chr2-p23.3
UCN,chr2-p23.3
MPV17,chr2-p23.3
ATRAID,chr2-p23.3
DTNB,chr2-p23.3
AK3,chr9-p24.1
RCL1,chr9-p24.1
RLN1,chr9-p24.1
PLGRKT,chr9-p24.1
CDC37L1,chr9-p24.1
INSL6,chr9-p24.1
KIAA2026,chr9-p24.1
PLPP6,chr9-p24.1
PDCD1LG2,chr9-p24.1
RANBP6,chr9-p24.1
CD274,chr9-p24.1
UHRF2,chr9-p24.1
HIVEP1,chr6-p24.1
EDN1,chr6-p24.1
DMAC1,chr9-p24.1
RLN2,chr9-p24.1
INSL4,chr9-p24.1
GLDC,chr9-p24.1
JAK2,chr9-p24.1
APOB,chr2-p24.1
OSR1,chr2-p24.1
TTC32,chr2-p24.1
LDAH,chr2-p24.1
MATN3,chr2-p24.1
HS1BP3,chr2-p24.1
GDF7,chr2-p24.1
KDM4C,chr9-p24.1
ZCWPW2,chr3-p24.1
EOMES,chr3-p24.1
LRRC3B,chr3-p24.1
CMC1,chr3-p24.1
TBC1D7,chr6-p24.1
RBMS3,chr3-p24.1
AZI2,chr3-p24.1
LAPTM4A,chr2-p24.1
ADTRP,chr6-p24.1
TPD52L3,chr9-p24.1
TGFBR2,chr3-p24.1
IL33,chr9-p24.1
SPATA6L,chr9-p24.1
RIC1,chr9-p24.1
MLANA,chr9-p24.1
ERMP1,chr9-p24.1
TDRD15,chr2-p24.1
PHACTR1,chr6-p24.1
SDC1,chr2-p24.1
RHOB,chr2-p24.1
PUM2,chr2-p24.1
WDR35,chr2-p24.1
NEK10,chr3-p24.1
SLC4A7,chr3-p24.1
KLHL29,chr2-p24.1
SLC1A1,chr9-p24.2
TMEM170B,chr6-p24.2
ELOVL2,chr6-p24.2
SMIM13,chr6-p24.2
SYCP2L,chr6-p24.2
ERVFRD-1,chr6-p24.2
NEDD9,chr6-p24.2
MSGN1,chr2-p24.2
SMC6,chr2-p24.2
GEN1,chr2-p24.2
VSNL1,chr2-p24.2
NT5C1B,chr2-p24.2
PAK1IP1,chr6-p24.2
TMEM14C,chr6-p24.2
TMEM14B,chr6-p24.2
MAK,chr6-p24.2
GCM2,chr6-p24.2
NT5C1B-RDH14,chr2-p24.2
RDH14,chr2-p24.2
KCNV2,chr9-p24.2
VLDLR,chr9-p24.2
GLIS3,chr9-p24.2
NR1D2,chr3-p24.2
UBE2E1,chr3-p24.2
PUM3,chr9-p24.2
RFX3,chr9-p24.2
KCNS3,chr2-p24.2
THRB,chr3-p24.2
RPL15,chr3-p24.2
C6orf52,chr6-p24.2
NGLY1,chr3-p24.2
OXSM,chr3-p24.2
NKIRAS1,chr3-p24.2
CYRIA,chr2-p24.2
TOP2B,chr3-p24.2
RARB,chr3-p24.2
RAD51AP2,chr2-p24.2
SMARCA2,chr9-p24.3
EEF1E1,chr6-p24.3
BLOC1S5,chr6-p24.3
EEF1E1-BLOC1S5,chr6-p24.3
BLOC1S5-TXNDC5,chr6-p24.3
BMP6,chr6-p24.3
TXNDC5,chr6-p24.3
SSR1,chr6-p24.3
CAGE1,chr6-p24.3
RIOK1,chr6-p24.3
DMRT1,chr9-p24.3
DMRT3,chr9-p24.3
LRATD1,chr2-p24.3
MYCN,chr2-p24.3
NBAS,chr2-p24.3
PLCL2,chr3-p24.3
ZNF385D,chr3-p24.3
EFHB,chr3-p24.3
SGO1,chr3-p24.3
PP2D1,chr3-p24.3
UBE2E2,chr3-p24.3
KAT2B,chr3-p24.3
TBC1D5,chr3-p24.3
RFTN1,chr3-p24.3
KCNH8,chr3-p24.3
RAB5A,chr3-p24.3
WASHC1,chr9-p24.3
FOXD4,chr9-p24.3
CBWD1,chr9-p24.3
SLC35B3,chr6-p24.3
TFAP2A,chr6-p24.3
DMRT2,chr9-p24.3
KANK1,chr9-p24.3
DOCK8,chr9-p24.3
DSP,chr6-p24.3
SNRNP48,chr6-p24.3
DAZL,chr3-p24.3
RREB1,chr6-p24.3
GCNT2,chr6-p24.3
DDX1,chr2-p24.3
SATB1,chr3-p24.3
TRIB2,chr2-p24.3
RPP40,chr6-p25.1
CDYL,chr6-p25.1
IAH1,chr2-p25.1
ADAM17,chr2-p25.1
ASAP2,chr2-p25.1
YWHAQ,chr2-p25.1
NTSR2,chr2-p25.1
GREB1,chr2-p25.1
NOL10,chr2-p25.1
CPSF3,chr2-p25.1
WNT7A,chr3-p25.1
C3orf20,chr3-p25.1
DPH3,chr3-p25.1
PPP1R3G,chr6-p25.1
IQSEC1,chr3-p25.1
LSM3,chr3-p25.1
FARS2,chr6-p25.1
GRIP2,chr3-p25.1
HDAC11,chr3-p25.1
CHCHD4,chr3-p25.1
FGD5,chr3-p25.1
RBSN,chr3-p25.1
MRPS25,chr3-p25.1
ATP6V1C2,chr2-p25.1
FBLN2,chr3-p25.1
OXNAD1,chr3-p25.1
NUP210,chr3-p25.1
LYRM4,chr6-p25.1
NRN1,chr6-p25.1
F13A1,chr6-p25.1
KCNF1,chr2-p25.1
C2orf50,chr2-p25.1
SLC66A3,chr2-p25.1
E2F6,chr2-p25.1
XPC,chr3-p25.1
TMEM43,chr3-p25.1
LY86,chr6-p25.1
PDIA6,chr2-p25.1
LPIN1,chr2-p25.1
ITGB1BP1,chr2-p25.1
TAF1B,chr2-p25.1
GRHL1,chr2-p25.1
KLF11,chr2-p25.1
RRM2,chr2-p25.1
HPCAL1,chr2-p25.1
ODC1,chr2-p25.1
CAPN7,chr3-p25.1
SH3BP5,chr3-p25.1
METTL6,chr3-p25.1
EAF1,chr3-p25.1
COLQ,chr3-p25.1
HACL1,chr3-p25.1
BTD,chr3-p25.1
RNF144A,chr2-p25.1
SLC6A6,chr3-p25.1
ANKRD28,chr3-p25.1
GALNT15,chr3-p25.1
CCDC174,chr3-p25.1
NR2C2,chr3-p25.1
ID2,chr2-p25.1
MBOAT2,chr2-p25.1
KIDINS220,chr2-p25.1
ROCK2,chr2-p25.1
CYS1,chr2-p25.1
FAM50B,chr6-p25.2
MYLK4,chr6-p25.2
SOX11,chr2-p25.2
SYN2,chr3-p25.2
PXDC1,chr6-p25.2
WRNIP1,chr6-p25.2
SERPINB1,chr6-p25.2
SERPINB9,chr6-p25.2
SERPINB6,chr6-p25.2
BPHL,chr6-p25.2
RIPK1,chr6-p25.2
TUBB2B,chr6-p25.2
PSMG4,chr6-p25.2
SLC22A23,chr6-p25.2
TUBB2A,chr6-p25.2
NQO2,chr6-p25.2
PRPF4B,chr6-p25.2
FAM217A,chr6-p25.2
ECI2,chr6-p25.2
TIMP4,chr3-p25.2
TMEM40,chr3-p25.2
CAND2,chr3-p25.2
RPL32,chr3-p25.2
TSEN2,chr3-p25.2
MKRN2,chr3-p25.2
RSAD2,chr2-p25.2
PPARG,chr3-p25.2
MKRN2OS,chr3-p25.2
CMPK2,chr2-p25.2
VGLL4,chr3-p25.2
RAF1,chr3-p25.2
TAMM41,chr3-p25.2
GMDS,chr6-p25.3
EXOC2,chr6-p25.3
IRF4,chr6-p25.3
FOXQ1,chr6-p25.3
FOXF2,chr6-p25.3
FOXC1,chr6-p25.3
ACP1,chr2-p25.3
TPO,chr2-p25.3
ALKAL2,chr2-p25.3
TRAPPC12,chr2-p25.3
ADI1,chr2-p25.3
ALLC,chr2-p25.3
SNTG2,chr2-p25.3
COLEC11,chr2-p25.3
RNASEH1,chr2-p25.3
TMEM18,chr2-p25.3
RPS7,chr2-p25.3
SH3YL1,chr2-p25.3
DCDC2C,chr2-p25.3
CAV3,chr3-p25.3
SLC6A1,chr3-p25.3
SLC6A11,chr3-p25.3
RAD18,chr3-p25.3
LMCD1,chr3-p25.3
ATP2B2,chr3-p25.3
FAM110C,chr2-p25.3
DUSP22,chr6-p25.3
FANCD2OS,chr3-p25.3
BRK1,chr3-p25.3
IRAK2,chr3-p25.3
GHRL,chr3-p25.3
SEC13,chr3-p25.3
VHL,chr3-p25.3
CAMK1,chr3-p25.3
ARPC4-TTLL3,chr3-p25.3
RPUSD3,chr3-p25.3
JAGN1,chr3-p25.3
IL17RE,chr3-p25.3
HUS1B,chr6-p25.3
PRRT3,chr3-p25.3
CIDEC,chr3-p25.3
EIPR1,chr2-p25.3
TATDN2,chr3-p25.3
ARPC4,chr3-p25.3
OGG1,chr3-p25.3
OXTR,chr3-p25.3
IL17RC,chr3-p25.3
MTMR14,chr3-p25.3
BRPF1,chr3-p25.3
CRELD1,chr3-p25.3
FANCD2,chr3-p25.3
THUMPD3,chr3-p25.3
LHFPL4,chr3-p25.3
TADA3,chr3-p25.3
SRGAP3,chr3-p25.3
CPNE9,chr3-p25.3
SETD5,chr3-p25.3
HRH1,chr3-p25.3
ATG7,chr3-p25.3
EMC3,chr3-p25.3
TTLL3,chr3-p25.3
SSUH2,chr3-p25.3
PXDN,chr2-p25.3
MYT1L,chr2-p25.3
GRM7,chr3-p26.1
SUMF1,chr3-p26.1
BHLHE40,chr3-p26.1
ARL8B,chr3-p26.1
EDEM1,chr3-p26.1
ITPR1,chr3-p26.1
SETMAR,chr3-p26.1
LRRN1,chr3-p26.2
IL5RA,chr3-p26.2
TRNT1,chr3-p26.2
CRBN,chr3-p26.2
CHL1,chr3-p26.3
CNTN6,chr3-p26.3
CNTN4,chr3-p26.3
DNAJB4,chr1-p31.1
AK5,chr1-p31.1
GIPC2,chr1-p31.1
ST6GALNAC5,chr1-p31.1
ASB17,chr1-p31.1
ADGRL4,chr1-p31.1
TTLL7,chr1-p31.1
PTGFR,chr1-p31.1
PIGK,chr1-p31.1
ST6GALNAC3,chr1-p31.1
NEGR1,chr1-p31.1
ZZZ3,chr1-p31.1
LRRC40,chr1-p31.1
ANKRD13C,chr1-p31.1
CTH,chr1-p31.1
LRRC7,chr1-p31.1
USP33,chr1-p31.1
NEXN,chr1-p31.1
FUBP1,chr1-p31.1
IFI44L,chr1-p31.1
IFI44,chr1-p31.1
ACADM,chr1-p31.1
RABGGTB,chr1-p31.1
MSH4,chr1-p31.1
LRRIQ3,chr1-p31.1
TNNI3K,chr1-p31.1
LRRC53,chr1-p31.1
ERICH3,chr1-p31.1
CRYZ,chr1-p31.1
TYW3,chr1-p31.1
FPGT-TNNI3K,chr1-p31.1
SAMD13,chr1-p31.1
DNASE2B,chr1-p31.1
ZRANB2,chr1-p31.1
LHX8,chr1-p31.1
FPGT,chr1-p31.1
PRKACB,chr1-p31.1
ADGRL2,chr1-p31.1
PTGER3,chr1-p31.1
SLC44A5,chr1-p31.1
MIGA1,chr1-p31.1
SRSF11,chr1-p31.1
NFIA,chr1-p31.3
L1TD1,chr1-p31.3
RAVER2,chr1-p31.3
FOXD3,chr1-p31.3
SLC35D1,chr1-p31.3
KANK4,chr1-p31.3
USP1,chr1-p31.3
RPE65,chr1-p31.3
ANGPTL3,chr1-p31.3
GNG12,chr1-p31.3
DNAJC6,chr1-p31.3
AK4,chr1-p31.3
LEPROT,chr1-p31.3
CACHD1,chr1-p31.3
EFCAB7,chr1-p31.3
ATG4C,chr1-p31.3
JAK1,chr1-p31.3
GADD45A,chr1-p31.3
DOCK7,chr1-p31.3
TM2D1,chr1-p31.3
PGM1,chr1-p31.3
ALG6,chr1-p31.3
DEPDC1,chr1-p31.3
IL23R,chr1-p31.3
IL12RB2,chr1-p31.3
LEPR,chr1-p31.3
ITGB3BP,chr1-p31.3
SERBP1,chr1-p31.3
MIER1,chr1-p31.3
DYNLT5,chr1-p31.3
DNAI4,chr1-p31.3
SGIP1,chr1-p31.3
INSL5,chr1-p31.3
UBE2U,chr1-p31.3
C1orf141,chr1-p31.3
ROR1,chr1-p31.3
PATJ,chr1-p31.3
WLS,chr1-p31.3
DIRAS3,chr1-p31.3
PDE4B,chr1-p31.3
TACSTD2,chr1-p32.1
C1orf87,chr1-p32.1
OMA1,chr1-p32.1
MYSM1,chr1-p32.1
FGGY,chr1-p32.1
JUN,chr1-p32.1
DAB1,chr1-p32.1
HOOK1,chr1-p32.1
CYP2J2,chr1-p32.1
PLPP3,chr1-p32.2
C8B,chr1-p32.2
FYB2,chr1-p32.2
C8A,chr1-p32.2
PRKAA2,chr1-p32.2
TTC22,chr1-p32.3
ECHDC2,chr1-p32.3
RAB3B,chr1-p32.3
TMEM61,chr1-p32.3
CZIB,chr1-p32.3
FAM151A,chr1-p32.3
PODN,chr1-p32.3
OSBPL9,chr1-p32.3
PARS2,chr1-p32.3
ZYG11A,chr1-p32.3
ZYG11B,chr1-p32.3
TXNDC12,chr1-p32.3
PCSK9,chr1-p32.3
TTC4,chr1-p32.3
CPT2,chr1-p32.3
TUT4,chr1-p32.3
MAGOH,chr1-p32.3
CDKN2C,chr1-p32.3
LRP8,chr1-p32.3
TCEANC2,chr1-p32.3
KTI12,chr1-p32.3
LRRC42,chr1-p32.3
MROH7,chr1-p32.3
PRPF38A,chr1-p32.3
USP24,chr1-p32.3
SHISAL2A,chr1-p32.3
DHCR24,chr1-p32.3
BSND,chr1-p32.3
GPX7,chr1-p32.3
MROH7-TTC4,chr1-p32.3
YIPF1,chr1-p32.3
LDLRAD1,chr1-p32.3
DMRTA2,chr1-p32.3
SCP2,chr1-p32.3
COA7,chr1-p32.3
TMEM59,chr1-p32.3
BTF3L4,chr1-p32.3
SLC1A7,chr1-p32.3
ORC1,chr1-p32.3
CC2D1B,chr1-p32.3
HSPB11,chr1-p32.3
ACOT11,chr1-p32.3
CDCP2,chr1-p32.3
MRPL37,chr1-p32.3
SSBP3,chr1-p32.3
RNF11,chr1-p32.3
EPS15,chr1-p32.3
TTC39A,chr1-p32.3
ZFYVE9,chr1-p32.3
LEXM,chr1-p32.3
CYB5RL,chr1-p32.3
C1orf185,chr1-p32.3
DMRTB1,chr1-p32.3
GLIS1,chr1-p32.3
NDC1,chr1-p32.3
NRDC,chr1-p32.3
FAF1,chr1-p32.3
DIO1,chr1-p32.3
UQCRH,chr1-p33
SPATA6,chr1-p33
FAAH,chr1-p33
TRABD2B,chr1-p33
CYP4X1,chr1-p33
CYP4Z1,chr1-p33
PDZK1IP1,chr1-p33
FOXE3,chr1-p33
ELAVL4,chr1-p33
FOXD2,chr1-p33
DMBX1,chr1-p33
SLC5A9,chr1-p33
TMEM275,chr1-p33
KNCN,chr1-p33
MKNK1,chr1-p33
ATPAF1,chr1-p33
TEX38,chr1-p33
EFCAB14,chr1-p33
STIL,chr1-p33
CMPK1,chr1-p33
NSUN4,chr1-p33
AGBL4,chr1-p33
BEND5,chr1-p33
LRRC41,chr1-p33
CYP4B1,chr1-p33
CYP4A11,chr1-p33
CYP4A22,chr1-p33
TAL1,chr1-p33
MOB3C,chr1-p33
ERI3,chr1-p34.1
KLF17,chr1-p34.1
KLF18,chr1-p34.1
ZSWIM5,chr1-p34.1
DMAP1,chr1-p34.1
TOE1,chr1-p34.1
TESK2,chr1-p34.1
CCDC163,chr1-p34.1
MMACHC,chr1-p34.1
ST3GAL3,chr1-p34.1
RNF220,chr1-p34.1
TMEM53,chr1-p34.1
ARMH1,chr1-p34.1
KIF2C,chr1-p34.1
RPS8,chr1-p34.1
BEST4,chr1-p34.1
PLK3,chr1-p34.1
BTBD19,chr1-p34.1
PTCH2,chr1-p34.1
EIF2B3,chr1-p34.1
HECTD3,chr1-p34.1
UROD,chr1-p34.1
DYNLT4,chr1-p34.1
ARTN,chr1-p34.1
IPO13,chr1-p34.1
DPH2,chr1-p34.1
ATP6V0B,chr1-p34.1
CCDC24,chr1-p34.1
SLC6A9,chr1-p34.1
PRDX1,chr1-p34.1
NASP,chr1-p34.1
CCDC17,chr1-p34.1
GPBP1L1,chr1-p34.1
TMEM69,chr1-p34.1
AKR1A1,chr1-p34.1
B4GALT2,chr1-p34.1
HPDL,chr1-p34.1
MUTYH,chr1-p34.1
MAST2,chr1-p34.1
PIK3R3,chr1-p34.1
P3R3URF-PIK3R3,chr1-p34.1
TSPAN1,chr1-p34.1
P3R3URF,chr1-p34.1
LURAP1,chr1-p34.1
RAD54L,chr1-p34.1
POMGNT1,chr1-p34.1
IPP,chr1-p34.1
TRIT1,chr1-p34.2
SCMH1,chr1-p34.2
GUCA2B,chr1-p34.2
RIMKLA,chr1-p34.2
FAM183A,chr1-p34.2
RLF,chr1-p34.2
OXCT2,chr1-p34.2
TIE1,chr1-p34.2
RIMS3,chr1-p34.2
MYCL,chr1-p34.2
C1orf210,chr1-p34.2
BMP8B,chr1-p34.2
FOXJ3,chr1-p34.2
PPIE,chr1-p34.2
KDM4A,chr1-p34.2
GUCA2A,chr1-p34.2
PTPRF,chr1-p34.2
ZMYND12,chr1-p34.2
TMEM125,chr1-p34.2
HIVEP3,chr1-p34.2
SZT2,chr1-p34.2
MFSD2A,chr1-p34.2
TMCO2,chr1-p34.2
ZMPSTE24,chr1-p34.2
COL9A2,chr1-p34.2
ZFP69B,chr1-p34.2
ERMAP,chr1-p34.2
ZNF691,chr1-p34.2
SLC2A1,chr1-p34.2
CFAP57,chr1-p34.2
EBNA1BP2,chr1-p34.2
PPT1,chr1-p34.2
HEYL,chr1-p34.2
HPCAL4,chr1-p34.2
PPIH,chr1-p34.2
YBX1,chr1-p34.2
CLDN19,chr1-p34.2
P3H1,chr1-p34.2
CAP1,chr1-p34.2
MPL,chr1-p34.2
CDC20,chr1-p34.2
ELOVL1,chr1-p34.2
MED8,chr1-p34.2
HYI,chr1-p34.2
ZFP69,chr1-p34.2
ZNF684,chr1-p34.2
NT5C1A,chr1-p34.2
TMEM269,chr1-p34.2
SVBP,chr1-p34.2
KCNQ4,chr1-p34.2
CITED4,chr1-p34.2
CTPS1,chr1-p34.2
SLFNL1,chr1-p34.2
PPCS,chr1-p34.2
CCDC30,chr1-p34.2
C1orf50,chr1-p34.2
SMAP2,chr1-p34.2
EXO5,chr1-p34.2
FOXO6,chr1-p34.2
EDN2,chr1-p34.2
NFYC,chr1-p34.2
GJB3,chr1-p34.3
KIAA0319L,chr1-p34.3
ZMYM6,chr1-p34.3
GJB5,chr1-p34.3
AGO4,chr1-p34.3
CDCA8,chr1-p34.3
DNALI1,chr1-p34.3
RRAGC,chr1-p34.3
GRIK3,chr1-p34.3
YRDC,chr1-p34.3
PSMB2,chr1-p34.3
AGO1,chr1-p34.3
THRAP3,chr1-p34.3
C1orf122,chr1-p34.3
EPHA10,chr1-p34.3
FHL3,chr1-p34.3
RHBDL2,chr1-p34.3
TMEM35B,chr1-p34.3
INPP5B,chr1-p34.3
ZMYM4,chr1-p34.3
UTP11,chr1-p34.3
C1orf216,chr1-p34.3
